section,clip,method,J,F,JF,n_frames
aggregate,ALL,bilinear,0.6681,0.2593,0.4637,
aggregate,ALL,anyup3d,0.2457,0.0663,0.1560,
aggregate,ALL,delta,-0.4225,-0.1930,-0.3077,
per_clip,bike-packing,bilinear,0.5793,0.1833,0.3813,2
per_clip,blackswan,bilinear,0.9407,0.4094,0.6750,1
per_clip,bmx-trees,bilinear,0.7091,0.4008,0.5550,1
per_clip,breakdance,bilinear,0.9058,0.2682,0.5870,1
per_clip,camel,bilinear,0.9324,0.3302,0.6313,1
per_clip,car-roundabout,bilinear,0.9691,0.4066,0.6879,1
per_clip,car-shadow,bilinear,0.6801,0.1842,0.4322,2
per_clip,cows,bilinear,0.7942,0.1942,0.4942,2
per_clip,dance-twirl,bilinear,0.8806,0.4014,0.6410,1
per_clip,dog,bilinear,0.9454,0.4467,0.6961,1
per_clip,dogs-jump,bilinear,0.4477,0.1477,0.2977,2
per_clip,drift-chicane,bilinear,0.8482,0.4647,0.6564,1
per_clip,drift-straight,bilinear,0.9038,0.3538,0.6288,1
per_clip,goat,bilinear,0.9204,0.3489,0.6347,1
per_clip,gold-fish,bilinear,0.9171,0.3681,0.6426,1
per_clip,horsejump-high,bilinear,0.8295,0.3728,0.6012,1
per_clip,india,bilinear,0.9267,0.2865,0.6066,1
per_clip,judo,bilinear,0.8980,0.2982,0.5981,1
per_clip,kite-surf,bilinear,0.4653,0.3665,0.4159,1
per_clip,lab-coat,bilinear,0.2936,0.0980,0.1958,4
per_clip,libby,bilinear,0.6285,0.2569,0.4427,2
per_clip,loading,bilinear,0.9169,0.3214,0.6192,1
per_clip,mbike-trick,bilinear,0.3728,0.1675,0.2702,2
per_clip,motocross-jump,bilinear,0.4588,0.1775,0.3182,2
per_clip,paragliding-launch,bilinear,0.6098,0.3071,0.4584,1
per_clip,parkour,bilinear,0.8200,0.3369,0.5784,1
per_clip,pigs,bilinear,0.5962,0.1835,0.3898,2
per_clip,scooter-black,bilinear,0.7377,0.4036,0.5707,1
per_clip,shooting,bilinear,0.4879,0.1233,0.3056,2
per_clip,soapbox,bilinear,0.7199,0.3716,0.5458,1
per_clip,bike-packing,anyup3d,0.6110,0.2114,0.4112,2
per_clip,blackswan,anyup3d,0.9407,0.4094,0.6750,1
per_clip,bmx-trees,anyup3d,0.7091,0.4008,0.5550,1
per_clip,breakdance,anyup3d,0.2168,0.0415,0.1291,7
per_clip,camel,anyup3d,0.9324,0.3302,0.6313,1
per_clip,car-roundabout,anyup3d,0.9691,0.4066,0.6879,1
per_clip,car-shadow,anyup3d,0.5718,0.2014,0.3866,2
per_clip,cows,anyup3d,0.7451,0.1942,0.4696,2
per_clip,dance-twirl,anyup3d,0.8806,0.4014,0.6410,1
per_clip,dog,anyup3d,0.9454,0.4467,0.6961,1
per_clip,dogs-jump,anyup3d,0.1724,0.0451,0.1087,6
per_clip,drift-chicane,anyup3d,0.1340,0.0325,0.0832,5
per_clip,drift-straight,anyup3d,0.2252,0.0392,0.1322,5
per_clip,goat,anyup3d,0.2412,0.0385,0.1399,8
per_clip,gold-fish,anyup3d,0.2315,0.0456,0.1386,7
per_clip,horsejump-high,anyup3d,0.1846,0.0508,0.1177,5
per_clip,india,anyup3d,0.2439,0.0355,0.1397,7
per_clip,judo,anyup3d,0.3555,0.0556,0.2056,3
per_clip,kite-surf,anyup3d,0.1060,0.0611,0.0836,5
per_clip,lab-coat,anyup3d,0.1836,0.0339,0.1088,4
per_clip,libby,anyup3d,0.2888,0.0669,0.1779,5
per_clip,loading,anyup3d,0.2189,0.0306,0.1247,5
per_clip,mbike-trick,anyup3d,0.1317,0.0470,0.0893,7
per_clip,motocross-jump,anyup3d,0.2984,0.0479,0.1731,4
per_clip,paragliding-launch,anyup3d,0.1113,0.0439,0.0776,7
per_clip,parkour,anyup3d,0.1368,0.0365,0.0866,9
per_clip,pigs,anyup3d,0.2879,0.0466,0.1672,7
per_clip,scooter-black,anyup3d,0.1662,0.0556,0.1109,4
per_clip,shooting,anyup3d,0.2258,0.0347,0.1303,4
per_clip,soapbox,anyup3d,0.0920,0.0390,0.0655,9
